"","CS(=O)(=O)[O-]","[Na+]","COC","COC(C)=O","CC(=O)[O-]","[H]N(C)C(C)=O","[H]OC(C)=O","[H]OC","[H]C(C)(OC)OC","CN(C)C","C[N+](C)(C)C","[K+]","[Cl-]","(CH2)x","P","T","y"
"667",0,0.22,0,0,0.23,0.44,0,0.18,0,0.61,0.36,0,0.64,0.56,0.51,0.22,"FALSE"
"668",0,0,0,0,0.21,0.41,0,0.43,0.52,0,0,0.81,0,0.24,0.44,0.69,"FALSE"
"669",0,0.36,0,0,0.37,0.72,0,0.29,0,1,0,0,0,0.38,0.54,0.14,"FALSE"
"670",0,0,0,0,0.18,0.35,0,0,0,0,0.9,0,0.92,0.78,0.67,0.64,"FALSE"
"671",0.54,0.36,0.23,0.37,0.39,0.39,0,0,0,0,0.41,0,0,0.45,0.24,0.75,"FALSE"
"672",0,0,0,0,0.47,0.89,0,0,0,0,0.43,0.98,0,0.63,0.32,0.64,"TRUE"
"673",0,0.39,0,0,0.58,0.73,0,0,0,0,0.36,0,0,0.42,0.14,0.1,"TRUE"
"674",0.33,0.22,0.14,0.23,0.36,0.47,0,0,0,0,0,0.93,0,0.29,0.19,0.55,"FALSE"
"675",0.72,0.7,0.3,0.5,0.47,0.43,0,0.17,0,0.6,0,0,0,0.63,0.32,0.78,"FALSE"
"676",0.8,1,0.33,0.55,0.76,0.47,0,0,0,0,0,0,0,0.77,0.36,0.87,"FALSE"
"677",0,0.17,0,0,0.18,0.34,0,0.92,0.95,0.48,0,0,0,0.28,0.55,0.17,"FALSE"
"678",0,0,0.45,0.32,0.24,0.47,0.55,0.12,0,0,0.5,0,0,0.47,0.62,0.74,"FALSE"
"679",0.31,0.21,0.13,0.22,0.11,0,0,0.53,0.64,0,0,0,0,0.07,0.65,1,"FALSE"
"680",0,0.51,0,0,0.52,0.3,0,0,0,0,0.43,0,0,0.36,0.57,0.8,"FALSE"
"681",0,0.49,0,0,0.77,0.99,0,0,0,0,0,0.99,0,0.71,0.65,0.94,"FALSE"
"682",0,0.48,0.61,0.44,0.5,0.48,0.75,0.17,0,0,0,0,0,0.6,0.45,0.81,"FALSE"
"683",0,0.54,0,0,0.56,0.72,0,0.14,0,0.5,0,0,0,0.4,0.75,0.82,"FALSE"
"684",0,0,0.48,0.34,0.26,0.51,0.58,0.13,0,0,0,1,0,0.47,0.88,0.11,"FALSE"
"685",0,0.34,0,0,0.59,0.79,0,0,0,0,0,0.88,0,0.44,0.14,0.34,"TRUE"
"686",0,0.65,0,0,0.67,0.42,0,0,0,0,0.49,0,0,0.59,0.22,0.52,"FALSE"
"687",0,0,0,0,0.26,0.49,0,0,0,0,0.4,0.97,0.71,0.7,0.45,0.28,"FALSE"
"688",0,0.23,0.37,0.26,0.24,0.46,0.46,0.29,0,0.64,0,0,0,0.38,0.63,0.25,"TRUE"
"689",0,0,0,0,0.21,0.41,0,0.45,0.55,0,0.44,0,0,0.34,0.45,0.39,"FALSE"
"690",0,0,0,0,0,0,0,0.81,0.98,0,0.57,0,1,1,0.7,0.32,"FALSE"
"691",0,0.27,0,0,0.28,0,0,0,0,0,1,0,0.76,0.85,0.59,0.51,"FALSE"
"692",0,0,0.73,0.52,0,0,0.89,0.74,0.65,0,0,0,0,0.47,0.76,0.17,"TRUE"
"693",0,0.23,0.53,0.37,0.23,0.45,0.64,0.32,0,0.63,0,0,0,0.45,0.67,0.51,"TRUE"
"694",0,0.41,0,0,0.42,0.36,0,0.14,0,0.5,0.49,0,0,0.54,0.57,0.91,"FALSE"
"695",0,0.49,0,0,0.5,0.49,0,0,0,0,0.49,0,0.86,0.86,0.56,0.58,"FALSE"
"696",0,0.24,0,0,0.43,0.82,0,0.19,0,0.67,0,0.67,0,0.53,0.31,0.27,"FALSE"
"697",0,0.39,0,0,0.4,0.39,0,0,0,0,0.44,0,0.77,0.66,0.49,0.5,"FALSE"
"698",0,0.13,0,0,0.13,0.25,0,0.82,0.87,0.35,0,0,0,0.28,0.45,0.97,"FALSE"
"699",0,0.24,0,0,0.43,0.83,0,0.19,0,0.65,0.38,0,0,0.53,0.54,0.38,"FALSE"
"700",0.65,0.87,0.27,0.45,0.68,0.44,0,0,0,0,0,0,0,0.6,0.72,0.87,"TRUE"
"701",0,0.54,0,0,0.56,0.54,0,0.49,0.59,0,0,0,0,0.42,0.54,0.25,"TRUE"
"702",0,0.22,0,0,0.51,0.98,0,0.18,0,0.62,0.57,0,0,0.83,0.36,0,"TRUE"
"703",0,0.58,0,0,0.6,0.74,0,0.13,0,0.46,0,0,0,0.39,0.25,0.42,"TRUE"
"704",0.38,0.25,0.16,0.26,0.13,0,0,0,0,0,0.41,0,0.72,0.4,0.29,0.46,"FALSE"
"705",0,0.23,0,0,0.23,0.45,0,0.18,0,0.63,0.56,0,1,1,0.33,0.48,"FALSE"
"706",0,0.17,0,0,0.37,0.38,0,0,0,0,0.78,0,0,0.42,0.65,0.84,"FALSE"
"707",0,0,0.64,0.45,0,0,0.78,1,1,0,0,0,0,0.44,0.98,0.41,"TRUE"
"708",0.74,0.49,1,1,0.25,0,0.85,0.19,0,0,0,0,0,0.71,0.92,0.95,"FALSE"
"709",0,0.16,0,0,0.37,0.71,0,0.13,0,0.44,0,0.77,0,0.3,0.55,0.79,"FALSE"
"710",0.36,0.24,0.15,0.25,0.12,0,0,0.54,0.66,0,0,0,0,0,0.91,0.99,"FALSE"
"711",0,0.15,0,0,0.15,0.29,0,0.71,0.71,0.41,0,0,0,0.13,0.71,0.42,"FALSE"
"712",0,0.47,0,0,0.48,0.46,0,0.63,0.76,0,0,0,0,0.37,0.19,0.19,"TRUE"
"713",0,0.64,0,0,0.66,0.83,0,0.16,0,0.55,0,0,0,0.5,0.7,0.11,"TRUE"
"714",0,0,0.39,0.27,0,0,0.47,0.11,0,0,0.55,0,0.97,0.65,0.63,0.09,"FALSE"
"715",0,0.92,0,0,0.95,0.92,0,0,0,0,0,0,0,0.66,0.67,0,"TRUE"
"716",0,0.5,0,0,0.78,1,0,0,0,0,0.54,0,0,0.82,0.22,0.17,"TRUE"
"717",0,0.53,0,0,0.55,0.68,0,0.12,0,0.43,0,0,0,0.33,0.49,0.11,"FALSE"
"718",0,0.19,0.5,0.36,0.2,0,0.62,0.14,0,0,0.41,0,0,0.37,1,0.17,"FALSE"
"719",0.54,0.9,0.23,0.37,0.74,0.54,0,0,0,0,0,0,0,0.65,0.42,0.04,"TRUE"
"720",1,0.9,0.42,0.69,0.59,0,0,0,0,0,0.5,0,0,0.99,0.78,0.09,"TRUE"
"721",0,0.18,0.73,0.52,0.19,0.36,0.89,0.35,0,0.51,0,0,0,0.57,0.07,0.06,"TRUE"
"722",0,0.32,0.56,0.4,0.33,0.31,0.69,0.15,0,0,0,0,0,0.32,0.79,0.32,"TRUE"
"723",0,0.18,0.76,0.54,0.19,0.36,0.93,0.35,0,0.5,0,0,0,0.6,0.85,0.47,"FALSE"
"724",0.76,0.5,0.85,0.9,0.26,0,0.65,0.15,0,0,0,0,0,0.57,0.44,0.28,"FALSE"
"725",0,0.8,0,0,0.83,0.54,0,0,0,0,0.55,0,0,0.88,0.5,0.32,"TRUE"
"726",0,0.41,0,0,0.61,0.76,0,0,0,0,0,0.71,0,0.42,0.82,0.05,"FALSE"
"727",0,0.44,0,0,0.65,0.81,0,0,0,0,0.4,0,0,0.52,0.69,0.29,"TRUE"
"728",0.66,0.77,0.28,0.46,0.57,0.33,0,0,0,0,0,0,0,0.44,0.2,0.06,"TRUE"
"729",0,0.34,0,0,0.6,0.81,0,0,0,0,0,0.93,0,0.46,0.41,0.17,"FALSE"
"730",0,0.52,0,0,0.54,0.52,0,0.53,0.65,0,0,0,0,0.52,0.5,0.12,"TRUE"
"731",0,0.62,0,0,0.65,0.83,0,0.17,0,0.57,0,0,0,0.51,0.85,0.01,"TRUE"
"732",0,0.63,0,0,0.65,0.82,0,0.15,0,0.53,0,0,0,0.55,0.64,0.22,"TRUE"
"733",0,0.97,0,0,1,0.96,0,0,0,0,0,0,0,0.72,0,0.33,"TRUE"
"734",0,0,0.67,0.47,0,0,0.82,0.67,0.59,0,0,0,0,0.26,0.12,0.52,"TRUE"
"735",0.36,0.24,0.15,0.25,0.4,0.53,0,0,0,0,0.57,0,0,0.51,0.71,0.54,"FALSE"
"736",0,0.67,0,0,0.69,0.86,0,0.15,0,0.53,0,0,0,0.59,0.84,0.55,"TRUE"
"737",0,0.78,0,0,0.8,0.77,0,0,0,0,0,0,0,0.45,0.67,0.43,"TRUE"
"738",0,0.19,0,0,0.46,0.89,0,0.15,0,0.51,0.56,0,0,0.65,0.48,0.13,"TRUE"
"739",0,0.33,0.45,0.32,0.34,0.33,0.55,0.12,0,0,0,0,0,0.22,0.68,0.02,"TRUE"
"740",0,0.47,0,0,0.68,0.84,0,0,0,0,0.41,0,0,0.6,0.73,0.4,"TRUE"
"741",0,0,0.82,0.58,0.18,0.36,1,0.22,0,0,0.38,0,0,0.66,0.45,0.09,"FALSE"
"742",0.55,0.89,0.23,0.38,0.73,0.52,0,0,0,0,0,0,0,0.61,0.74,0.38,"TRUE"
"743",0,0,0.53,0.38,0,0,0.65,0.73,0.71,0,0,0,0,0.19,0.29,0.14,"TRUE"
"744",0,0.74,0,0,0.77,0.48,0,0,0,0,0.56,0,0,0.77,0.59,0.24,"TRUE"
"745",0.32,0.21,0.83,0.72,0.11,0,0.86,0.19,0,0,0,0,0,0.3,0.06,0.26,"TRUE"
"746",0,0,0.69,0.49,0,0,0.85,0.69,0.61,0,0,0,0,0.41,0.51,0.06,"TRUE"
"747",0,0.74,0,0,0.76,0.95,0,0.18,0,0.61,0,0,0,0.76,0.79,0.38,"TRUE"
"748",0,0.53,0,0,0.55,0.53,0,0.65,0.79,0,0,0,0,0.66,0.34,0.35,"TRUE"
"749",0,0.51,0.52,0.37,0.53,0.51,0.64,0.14,0,0,0,0,0,0.55,0.22,0.41,"TRUE"
"750",0.72,0.48,0.3,0.49,0.5,0.5,0,0,0,0,0.53,0,0,0.8,0.35,0.07,"FALSE"
